Visit Date,temp,humidity,precip,windspeed,uvindex,number
2016-01-01,44.5,79.3,0.0,8.9,6,1.0
2016-01-02,54.2,72.8,0.0,6.7,5,2.0
2016-01-03,58.1,73.0,0.004,6.7,5,3.0
2016-01-04,57.5,90.0,0.069,8.9,3,2.0
2016-01-05,52.6,98.4,0.047,15.7,1,0.0
2016-01-06,48.5,93.4,0.276,11.2,1,0.0
2016-01-07,47.8,76.5,0.0,6.7,4,0.0
2016-01-08,42.4,79.9,0.019,11.2,4,2.0
2016-01-09,43.4,74.7,0.001,6.7,6,1.0
2016-01-10,47.1,96.6,0.224,4.5,1,2.0
2016-01-11,47.2,99.4,0.24,8.9,1,0.0
2016-01-12,42.6,80.7,0.035,9.0,3,0.0
2016-01-13,39.7,73.0,0.0,11.2,6,0.0
2016-01-14,40.5,73.9,0.0,6.7,6,1.0
2016-01-15,44.9,76.1,0.006,4.5,5,1.0
2016-01-16,44.7,79.8,0.078,11.1,5,1.0
2016-01-17,46.2,92.2,0.524,13.3,1,2.0
2016-01-18,42.0,75.5,0.0,13.4,4,1.0
2016-01-19,35.7,55.2,0.0,13.4,7,0.0
2016-01-20,37.1,74.9,0.028,11.2,3,0.0
2016-01-21,38.5,96.6,0.534,11.2,1,0.0
2016-01-22,39.7,94.1,0.56,13.4,1,0.0
2016-01-23,32.2,70.0,0.255,24.6,4,0.0
2016-01-24,24.8,46.9,0.0,29.1,7,2.0
2016-01-25,28.4,45.4,0.0,13.4,7,1.0
2016-01-26,35.8,56.5,0.0,6.7,7,0.0
2016-01-27,40.4,89.2,0.264,8.9,1,0.0
2016-01-28,43.6,100.0,0.626,6.7,2,0.0
2016-01-29,43.9,97.8,0.539,8.9,1,0.0
2016-01-30,41.1,86.8,0.055,11.2,2,0.0
2016-01-31,39.2,85.4,0.133,11.2,3,0.0
2016-02-01,33.7,83.4,0.3,13.4,3,1.0
2016-02-02,34.5,65.7,0.015,13.4,6,2.0
2016-02-03,36.2,73.4,0.0,8.9,7,1.0
2016-02-04,36.3,91.7,0.005,4.5,4,2.0
2016-02-05,41.5,72.0,0.007,11.2,7,1.0
2016-02-06,39.9,54.9,0.0,20.1,6,1.0
